train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2753,1.0,95,283,961.9,0.030452610924839973,-33523.22332071,10563561.049414063,0.0,780000,0.8055755496025085,0.006494139786809683
0.001,2755,1.0,96,286,960.37,0.023510128259658813,-31732.0890327,22178999.964453124,-1.1920928955078125e-07,790000,0.8103711009025574,0.009112169034779072
0.001,2756,1.0,97,290,960.37,0.018806258216500282,-32544.221334659997,4548165.602001953,0.0,800000,0.8137423992156982,0.007054828107357025
0.001,2758,1.0,98,293,963.65,0.04258468374609947,-28246.330224970003,1869400.0490478515,5.960464477539063e-08,810000,0.8181601166725159,0.006532743573188782
0.001,2752,1.0,100,297,945.01,0.039792247116565704,-27952.118042700004,1865073.2599121095,0.0,820000,0.8210935592651367,0.007780179381370544
0.001,2753,1.0,101,301,943.33,0.0031241443939507008,-32494.4115398,114896280.17734376,-1.1920928955078125e-07,830000,0.8207387328147888,0.007591757923364639
0.001,2754,1.0,102,305,952.88,0.031521987169981,-31215.67841703999,1715588.7329589843,0.0,840000,0.8237202763557434,0.006437756586819887
0.001,2755,1.0,103,308,954.88,0.046015940606594086,-28885.949065689998,2285806.5832763673,0.0,850000,0.8306174278259277,0.008419237099587917
0.001,2757,1.0,104,311,940.93,0.04594158008694649,-27028.189574429995,46268175.368945315,-1.1920928955078125e-07,860000,0.8343448042869568,0.008750761859118938
0.001,2751,1.0,106,316,940.93,0.03687366470694542,-31119.89453988,27203879.255859375,0.0,870000,0.8257746696472168,0.009659327566623688
0.001,2749,1.0,107,320,948.84,0.03550976142287254,-29639.657063869996,2047315.4827148437,5.960464477539063e-08,880000,0.8224273324012756,0.008715623058378696
0.001,2749,1.0,108,323,937.58,0.03343788906931877,-27642.96563021,15428115.69116211,0.0,890000,0.8258865475654602,0.008139528334140778
0.001,2750,1.0,109,327,934.22,0.0341188907623291,-37138.36902556,34963473.95175781,0.0,900000,0.830204427242279,0.009530626237392426
