time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
250,996,31194,0.13143911957740784,0.08102536201477051,720.13,249656,504.61590576171875,-5835.0990206,363.80706787109375,512,0.001,,
250,997,31237,0.13264073431491852,0.6052416563034058,720.13,250000,479.290283203125,-5835.0990206,339.83306884765625,512,0.001,,
,,,,,,250000,,,,,,-4010.6209958,811.8
249,1016,31679,0.12688367068767548,-0.5257309675216675,731.89,253536,481.70001220703125,-5779.3587990000005,254.24986267089844,516,0.001,,
251,1025,32166,0.12721219658851624,-0.30460411310195923,736.71,257432,474.23284912109375,-5755.45292146,290.1399230957031,520,0.001,,
252,1031,32485,0.138580322265625,0.6298272013664246,733.36,259984,464.78253173828125,-5685.51684087,338.2586364746094,524,0.001,,
252,1031,32487,0.138580322265625,0.563234806060791,733.36,260000,449.11041259765625,-5685.51684087,380.2542419433594,524,0.001,,
,,,,,,260000,,,,,,-5149.4903278,836.0
251,1051,33066,0.12719780206680298,-0.3224949836730957,761.86,264632,456.184326171875,-5699.32701842,344.2715148925781,528,0.001,,
252,1059,33485,0.13763196766376495,-0.4279390275478363,770.72,267984,456.29986572265625,-5661.739655569999,282.68280029296875,532,0.001,,
253,1065,33737,0.14262035489082336,0.3446688652038574,770.72,270000,434.419189453125,-5661.739655569999,1354.002685546875,532,0.001,,
,,,,,,270000,,,,,,-5447.3655911999995,824.2
252,1080,34057,0.14062689244747162,-1.3796591758728027,770.91,272560,472.85638427734375,-5634.564482409999,349.56268310546875,536,0.001,,
252,1084,34244,0.12688705325126648,-0.7081851363182068,779.11,274056,469.8027038574219,-5648.83824858,306.92913818359375,540,0.001,,
254,1100,34987,0.12663215398788452,0.40550100803375244,783.69,280000,445.2994689941406,-5643.55044269,353.78411865234375,543,0.001,,
,,,,,,280000,,,,,,-4412.732232599999,940.8
252,1111,35057,0.1277448534965515,0.6530303955078125,784.3,280560,429.7897644042969,-5636.57529986,288.66357421875,544,0.001,,
252,1115,35244,0.13089682161808014,-0.08172440528869629,803.77,282056,429.10321044921875,-5566.724899060001,530.3519287109375,548,0.001,,
254,1128,35902,0.1312808096408844,-0.2003464251756668,797.92,287320,455.1376953125,-5491.688510620001,1648.90576171875,552,0.001,,
255,1132,36121,0.123860664665699,-0.09253804385662079,816.99,289072,470.76043701171875,-5496.220046010001,2652.25537109375,556,0.001,,
255,1134,36237,0.1196976825594902,-0.4243841767311096,816.99,290000,473.6812744140625,-5496.220046010001,372.223388671875,556,0.001,,
,,,,,,290000,,,,,,-4492.5193641999995,1000.0
254,1157,36860,0.12775078415870667,1.09621262550354,835.69,294984,450.7635498046875,-5493.426127319999,322.6114196777344,560,0.001,,
255,1160,37045,0.12816278636455536,0.4618353247642517,852.43,296464,450.93487548828125,-5453.0316687,232.42544555664062,564,0.001,,
256,1169,37487,0.13643421232700348,0.5961726903915405,852.43,300000,451.8828125,-5417.84823858,322.348876953125,565,0.001,,
,,,,,,300000,,,,,,-5012.499249400001,1000.0
254,1182,37644,0.1402503401041031,0.7439303398132324,843.52,301256,439.9731750488281,-5330.07932821,430.3556823730469,568,0.001,,
255,1187,37894,0.14546753466129303,-0.7593761682510376,836.74,303256,426.5125427246094,-5148.22560617,445.2596435546875,572,0.001,,
255,1191,38099,0.1436762511730194,-0.13520795106887817,835.96,304896,431.0417175292969,-4976.76510145,338.9107360839844,576,0.001,,
256,1198,38404,0.1334209442138672,-0.19175347685813904,820.17,307336,435.0539855957031,-4785.086441539999,215.17071533203125,580,0.001,,
256,1201,38575,0.13851159811019897,0.07460261881351471,812.82,308704,418.71435546875,-4732.298385849999,237.6310577392578,584,0.001,,
257,1205,38737,0.13723637163639069,-1.067244052886963,812.82,310000,439.55401611328125,-4707.30038805,287.22503662109375,585,0.001,,
,,,,,,310000,,,,,,-5008.296543,1000.0
255,1215,38765,0.13639838993549347,-0.2579796612262726,789.12,310224,449.5281982421875,-4533.49690363,962.7215576171875,588,0.001,,
256,1229,39404,0.1142837405204773,0.4101518988609314,790.95,315336,452.77069091796875,-4487.107960619999,232.80686950683594,592,0.001,,
257,1236,39765,0.12593132257461548,0.5068252086639404,793.61,318224,445.8779296875,-4476.24346375,334.4505920410156,596,0.001,,
257,1241,39987,0.12854067981243134,-0.031160205602645874,794.5,320000,413.83941650390625,-4481.6912680099995,1256.313232421875,597,0.001,,
,,,,,,320000,,,,,,-5039.7516066,1000.0
256,1257,40259,0.13236352801322937,0.1515214741230011,799.57,322176,403.7567138671875,-4515.22793679,287.73663330078125,600,0.001,,
257,1263,40576,0.12588533759117126,-1.1247315406799316,809.36,324712,388.01605224609375,-4402.79564805,317.1004638671875,604,0.001,,
257,1269,40889,0.1316852569580078,1.6346004009246826,803.14,327216,344.4626159667969,-4148.32018212,323.6236572265625,608,0.001,,
258,1276,41237,0.13640005886554718,-0.5832666158676147,804.85,330000,379.80828857421875,-4173.721429130001,255.3603515625,609,0.001,,
,,,,,,330000,,,,,,-4586.1336208,1000.0
256,1290,41404,0.1292267143726349,-0.26788026094436646,813.89,331336,367.9207763671875,-4163.31491851,1842.93896484375,612,0.001,,
257,1299,41877,0.12834030389785767,0.9154479503631592,806.29,335120,374.1810302734375,-4073.0802375400003,264.9292297363281,616,0.001,,
