train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,1060,969,34.74,-0.0023367429466816247,1.7881393432617188e-07,-472467.08904193004,870000,15657520780.8,8257508352.0,-21.823944982886314,0.00203935,1.4962139129638672,0.2,897,0.00228271484375
0.0017,1070,980,26.58,-0.002459149250171322,0.0,-380221.10185738996,880000,15907607912.8,7713798144.0,-21.88189990222454,0.00261406,1.5037261247634888,0.2,897,0.0066162109375
0.0017,1080,990,29.7,-0.002263473351376888,0.0,-416295.12307863997,890000,15204437603.2,7179686912.0,-21.93710216283798,0.0024844613,1.51007878780365,0.2,898,0.00279541015625
0.0017,1090,1000,24.88,-0.0026682539019020624,0.0,-359112.23983031994,900000,15543449245.6,8091516416.0,-21.991036094725132,0.0023573642,1.5173619985580444,0.2,899,0.00281982421875
0.0017,1110,1015,33.8,-0.0027885016990694565,0.0,-457526.93584881997,910000,15647413060.0,8740119552.0,-22.09126351773739,0.0030192058,1.5295671224594116,0.2,896,0.00738525390625
0.0017,1120,1025,29.58,-0.002070049738904345,5.960464477539063e-08,-412975.97440063,920000,15894257289.6,8063715840.0,-22.1425120562315,0.002354341,1.536648154258728,0.2,897,0.003125
0.0017,1130,1035,29.54,-0.001962106499740912,0.0,-411127.19295061997,930000,15461482885.6,8129470464.0,-22.195372568070887,0.0020638765,1.5431004762649536,0.2,897,0.002490234375
0.0017,1140,1045,29.72,-0.0020856312761679875,1.7881393432617188e-07,-415178.6717468901,940000,15122101868.8,7110601728.0,-22.2461865067482,0.0024488922,1.5496920347213745,0.2,898,0.00430908203125
0.0017,1150,1056,31.2,-0.0023659312591917114,0.0,-433327.99468235986,950000,15254826210.4,7486251008.0,-22.29916581362486,0.002414272,1.556875228881836,0.2,899,0.0049072265625
0.0017,1170,1070,35.29,-0.0033519989301566966,0.0,-475669.56045671,960000,15195007015.2,7573404160.0,-22.39411973208189,0.003628738,1.5688114166259766,0.2,896,0.0111572265625
0.0017,1180,1081,30.85,-0.002877886183978262,-2.384185791015625e-07,-429710.48180904,970000,15267640651.2,7163253760.0,-22.439366036653517,0.0025938456,1.574681282043457,0.2,897,0.0043212890625
0.0017,1190,1091,29.19,-0.00420046235267364,1.7881393432617188e-07,-407233.60150195,980000,15450109129.6,8177559552.0,-22.488149505853652,0.003557228,1.5816339254379272,0.2,897,0.00931396484375
0.0017,1200,1101,33.76,-0.0028841900639235973,1.7881393432617188e-07,-454951.97543589,990000,15103621374.4,7735099392.0,-22.540052780508994,0.0028802655,1.588608741760254,0.2,898,0.0078369140625
0.0017,1220,1116,28.26,-0.002257221489526273,1.7881393432617188e-07,-390309.06629254005,1000000,14789112413.6,7358449152.0,-22.637500704824923,0.0023208295,1.601452350616455,0.2,895,0.002978515625
